text,tag
strange,ADJ
new,ADJ
eager,ADJ
4th,ADJ
light,ADJ
shocked,ADJ
full,ADJ
best,ADJ
best,ADJ
formal,ADJ
lovely,ADJ
own,ADJ
high,ADJ
small,ADJ
clean,ADJ
more,ADJ
rude,ADJ
cheaper,ADJ
grand,ADJ
British,ADJ
first,ADJ
standard,ADJ
shabby,ADJ
unraveling,ADJ
small,ADJ
more,ADJ
attic,ADJ
hit,ADJ
separate,ADJ
several,ADJ
fair,ADJ
happy,ADJ
complimentary,ADJ
nice,ADJ
welcome,ADJ
plus,ADJ
good,ADJ
great,ADJ
soft,ADJ
fabulous,ADJ
special,ADJ
fortunate,ADJ
fabulous,ADJ
satisfied,ADJ
iconic,ADJ
deluxe,ADJ
standard,ADJ
big,ADJ
handicapped,ADJ
smaller,ADJ
3rd,ADJ
good,ADJ
next,ADJ
famous,ADJ
few,ADJ
open,ADJ
rude,ADJ
upset,ADJ
open,ADJ
nonexistent,ADJ
random,ADJ
late,ADJ
annoyed,ADJ
such,ADJ
awful,ADJ
front,ADJ
general,ADJ
front,ADJ
free,ADJ
complete,ADJ
appalling,ADJ
many,ADJ
other,ADJ
lovely,ADJ
entire,ADJ
desperate,ADJ
massive,ADJ
sleazy,ADJ
many,ADJ
late,ADJ
early,ADJ
delighted,ADJ
same,ADJ
good,ADJ
lovely,ADJ
several,ADJ
due,ADJ
front,ADJ
unaware,ADJ
wrong,ADJ
several,ADJ
incorrect,ADJ
annoyed,ADJ
many,ADJ
careless,ADJ
slight,ADJ
future,ADJ
disappointing,ADJ
indicative,ADJ
sloppy,ADJ
only,ADJ
great,ADJ
good,ADJ
small,ADJ
dark,ADJ
simple,ADJ
dental,ADJ
decaf,ADJ
grumpy,ADJ
Good,ADJ
good,ADJ
most,ADJ
different,ADJ
biggest,ADJ
other,ADJ
same,ADJ
main,ADJ
filthy,ADJ
good,ADJ
ridiculous,ADJ
regular,ADJ
wrongful,ADJ
several,ADJ
disappointed,ADJ
second,ADJ
wow,ADJ
quirky,ADJ
distinctive,ADJ
exemplary,ADJ
stuffy,ADJ
same,ADJ
generic,ADJ
high,ADJ
sub,ADJ
-,ADJ
nice,ADJ
nice,ADJ
amazing,ADJ
iconic,ADJ
stylish,ADJ
wise,ADJ
fantastic,ADJ
redemptive,ADJ
large,ADJ
synonymous,ADJ
amazing,ADJ
enormous,ADJ
hard,ADJ
worst,ADJ
unremarkable-,ADJ
special,ADJ
groups,ADJ
other,ADJ
comfortable,ADJ
high,ADJ
enormous,ADJ
incomprehensible,ADJ
botanical,ADJ
wordy,ADJ
comprehensible,ADJ
long,ADJ
sensible,ADJ
high,ADJ
suitable,ADJ
warm,ADJ
flat,ADJ
ironic,ADJ
werent,ADJ
able,ADJ
sure,ADJ
eastern,ADJ
welcoming,ADJ
friendly,ADJ
constant,ADJ
poor,ADJ
fantastic,ADJ
tasty,ADJ
good,ADJ
formal,ADJ
stiff,ADJ
surprising,ADJ
efficient,ADJ
slick,ADJ
engaging,ADJ
more,ADJ
elegant,ADJ
great,ADJ
clear,ADJ
managerial,ADJ
Irish,ADJ
other,ADJ
excellent,ADJ
colourful,ADJ
warm,ADJ
sure,ADJ
nice,ADJ
classy,ADJ
spectacular,ADJ
negative,ADJ
great,ADJ
friendly,ADJ
welcome,ADJ
intrusive,ADJ
exquisite,ADJ
next,ADJ
menu-,ADJ
big,ADJ
high,ADJ
low,ADJ
high,ADJ
more,ADJ
more,ADJ
bespoke,ADJ
great-,ADJ
several,ADJ
different,ADJ
friendly,ADJ
attentive,ADJ
good,ADJ
great,ADJ
inappropriate,ADJ
short,ADJ
sure,ADJ
other,ADJ
high,ADJ
shocked,ADJ
drunk,ADJ
acceptable,ADJ
good,ADJ
mediocre,ADJ
ok,ADJ
full,ADJ
excellent,ADJ
good,ADJ
beautiful,ADJ
drunken,ADJ
special,ADJ
elderly,ADJ
delightful,ADJ
lovely,ADJ
ready,ADJ
late,ADJ
appalling,ADJ
upset,ADJ
late,ADJ
good,ADJ
near,ADJ
friendly,ADJ
true,ADJ
friendly,ADJ
talkative,ADJ
Western,ADJ
other,ADJ
free,ADJ
traditional,ADJ
Full,ADJ
English,ADJ
normal,ADJ
full,ADJ
same,ADJ
better,ADJ
nearby,ADJ
fried,ADJ
free,ADJ
fourth,ADJ
higher,ADJ
surprising,ADJ
terrible,ADJ
weak,ADJ
single,ADJ
cold,ADJ
off,ADJ
big,ADJ
old,ADJ
