text,tag
new,ADJ
incid,ADJ
total,ADJ
second,ADJ
light,ADJ
obvious,ADJ
full,ADJ
resolv,ADJ
best,ADJ
best,ADJ
epic,ADJ
formal,ADJ
high,ADJ
small,ADJ
clean,ADJ
cheaper,ADJ
dorchest,ADJ
grand,ADJ
first,ADJ
standard,ADJ
chic,ADJ
worn,ADJ
notic,ADJ
fair,ADJ
welcom,ADJ
next,ADJ
good,ADJ
great,ADJ
soft,ADJ
servic,ADJ
special,ADJ
fortun,ADJ
dorchest,ADJ
standard,ADJ
big,ADJ
handicap,ADJ
fuss,ADJ
smaller,ADJ
indic,ADJ
next,ADJ
famou,ADJ
ill,ADJ
final,ADJ
servic,ADJ
virtual,ADJ
random,ADJ
later,ADJ
late,ADJ
servic,ADJ
front,ADJ
front,ADJ
free,ADJ
servic,ADJ
straight,ADJ
late,ADJ
experi,ADJ
good,ADJ
servic,ADJ
due,ADJ
inabl,ADJ
occupi,ADJ
due,ADJ
front,ADJ
key,ADJ
open,ADJ
wrong,ADJ
incorrect,ADJ
rude,ADJ
careless,ADJ
slight,ADJ
upgrad,ADJ
indic,ADJ
great,ADJ
fit,ADJ
choic,ADJ
small,ADJ
dental,ADJ
direct,ADJ
good,ADJ
good,ADJ
biggest,ADJ
main,ADJ
shower,ADJ
regular,ADJ
wrong,ADJ
sever,ADJ
actual,ADJ
normal,ADJ
second,ADJ
distinct,ADJ
alway,ADJ
nice,ADJ
nice,ADJ
normal,ADJ
usual,ADJ
incred,ADJ
stylish,ADJ
wise,ADJ
worst,ADJ
special,ADJ
enough,ADJ
martini,ADJ
long,ADJ
high,ADJ
flat,ADJ
right,ADJ
sure,ADJ
constant,ADJ
poor,ADJ
present,ADJ
good,ADJ
formal,ADJ
stiff,ADJ
great,ADJ
clear,ADJ
manageri,ADJ
presenc,ADJ
irish,ADJ
much,ADJ
warm,ADJ
sure,ADJ
nice,ADJ
wise,ADJ
amp,ADJ
spectacular,ADJ
recal,ADJ
blue,ADJ
next,ADJ
amp,ADJ
great,ADJ
someth,ADJ
great,ADJ
notic,ADJ
short,ADJ
sure,ADJ
actual,ADJ
high,ADJ
normal,ADJ
openli,ADJ
belliger,ADJ
front,ADJ
drunk,ADJ
full,ADJ
